date,smb,hml,umd,rf,rm,rmrf,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10,XS1_W,XS2_W,XS3_W,XS4_W,XS5_W,XS5_W,XS6_W,XS7_W,XS8_W,XS9_W,XS10_W
1982-08-01,-0.0233413,-0.0208465,0.0166694,0.0079145,0.0331372,0.0252227,-0.0090095,0.0034267,0.0011279,-0.0114412,0.0040195,0.0127202,0.0092478,0.0199899,0.0294901,0.0477959,-0.016924,-0.0044878,-0.0067866,-0.0193557,-0.003895,0.0048057,0.0013333,0.0120754,0.0215756,0.0398814,-0.016924,-0.0044878,-0.0067866,-0.0193557,-0.003895,-0.003895,0.0048057,0.0013333,0.0120754,0.0215756,0.0398814
1982-09-01,-0.0188474,-0.0830723,0.097397,0.0079481,0.0587617,0.0508136,-0.0001116,0.0285779,0.0071501,0.0105822,0.0184335,0.0267302,0.0316438,0.0381372,0.0415574,0.0544692,-0.0080597,0.0206298,-0.000798,0.0026341,0.0104854,0.0187821,0.0236957,0.0301891,0.0336093,0.0465211,-0.0080597,0.0206298,-0.000798,0.0026341,0.0104854,0.0104854,0.0187821,0.0236957,0.0301891,0.0336093,0.0465211
1982-10-01,-0.010026,0.0335445,0.0004925,0.0070749,0.0263409,0.019266,0.0592966,0.0142589,0.0017869,-0.0004853,0.0186397,0.03469,0.0106181,0.0071505,0.0355826,0.0253894,0.0522217,0.007184,-0.005288,-0.0075602,0.0115648,0.0276151,0.0035432,7.56e-05,0.0285077,0.0183145,0.0522217,0.007184,-0.005288,-0.0075602,0.0115648,0.0115648,0.0276151,0.0035432,7.56e-05,0.0285077,0.0183145
1982-11-01,0.0440538,-0.0406957,0.061175,0.0079733,0.0200993,0.012126,0.1325357,0.092172,0.0540174,0.0359154,0.0316147,0.0763296,0.0530857,0.0516003,0.0140494,0.0255624,0.1245624,0.0841987,0.0460441,0.0279421,0.0236414,0.0683563,0.0451124,0.043627,0.0060761,0.0175891,0.1245624,0.0841987,0.0460441,0.0279421,0.0236414,0.0236414,0.0683563,0.0451124,0.043627,0.0060761,0.0175891
1982-12-01,-0.0074736,-0.0076734,-0.0016223,0.0077633,0.0225505,0.0147872,0.0646604,0.0187332,0.0290685,0.0130222,-0.0051194,-0.0091495,0.0182204,0.0163115,0.021837,0.0239692,0.0568971,0.0109699,0.0213052,0.0052589,-0.0128827,-0.0169128,0.0104571,0.0085482,0.0140737,0.0162059,0.0568971,0.0109699,0.0213052,0.0052589,-0.0128827,-0.0128827,-0.0169128,0.0104571,0.0085482,0.0140737,0.0162059
1983-01-01,0.030012,0.0491818,-0.0374277,0.0086875,0.0379006,0.0292131,0.134904,0.091376,0.1025593,0.031487,0.0447507,0.1067482,0.0344806,0.0390194,0.0439327,0.0214834,0.1262165,0.0826885,0.0938718,0.0227995,0.0360632,0.0980607,0.0257931,0.0303319,0.0352452,0.0127959,0.1262165,0.0826885,0.0938718,0.0227995,0.0360632,0.0360632,0.0980607,0.0257931,0.0303319,0.0352452,0.0127959
1983-02-01,0.0233476,-0.0013955,0.0108785,0.0086203,0.0152146,0.0065943,0.0709219,0.0417034,0.0249923,0.0768216,0.0422164,0.0099689,0.0440712,0.0280162,0.0370235,0.0050917,0.0623016,0.0330831,0.016372,0.0682013,0.0335961,0.0013486,0.0354509,0.0193959,0.0284032,-0.0035286,0.0623016,0.0330831,0.016372,0.0682013,0.0335961,0.0335961,0.0013486,0.0354509,0.0193959,0.0284032,-0.0035286
1983-03-01,0.0039902,0.0537921,-0.0190359,0.0081413,0.0357233,0.027582,0.0138791,0.034198,0.0521322,0.0562497,0.025121,0.0356908,0.0364484,0.0418794,0.0488887,0.0329856,0.0057378,0.0260567,0.0439909,0.0481084,0.0169797,0.0275495,0.0283071,0.0337381,0.0407474,0.0248443,0.0057378,0.0260567,0.0439909,0.0481084,0.0169797,0.0169797,0.0275495,0.0283071,0.0337381,0.0407474,0.0248443
1983-04-01,-0.0237192,0.0477581,-0.0427757,0.0077297,0.0705794,0.0628497,0.0729821,0.0838681,0.0391036,0.1045023,0.0925732,0.0312807,0.0398364,0.049461,0.0802204,0.0834375,0.0652524,0.0761384,0.0313739,0.0967726,0.0848435,0.023551,0.0321067,0.0417313,0.0724907,0.0757078,0.0652524,0.0761384,0.0313739,0.0967726,0.0848435,0.0848435,0.023551,0.0321067,0.0417313,0.0724907,0.0757078
1983-05-01,-0.0116283,-0.0108502,-0.0101857,0.0077381,0.0002,-0.0075381,0.0142311,-0.0336814,0.0248336,0.0012082,-0.0093189,-0.032921,0.0025272,-0.0120035,-0.0098869,0.0024909,0.006493,-0.0414195,0.0170955,-0.0065299,-0.017057,-0.0406591,-0.0052109,-0.0197416,-0.017625,-0.0052472,0.006493,-0.0414195,0.0170955,-0.0065299,-0.017057,-0.017057,-0.0406591,-0.0052109,-0.0197416,-0.017625,-0.0052472
